visitor_id,lastpurchasetime,recency,frequency,monetary
73,2019-02-10 22:02:21.304,3,5,1
74,2019-02-11 22:44:12.213,2,5,4
75,2019-02-09 16:54:45.758,4,1,4
76,2019-02-11 12:21:12.880,2,2,1
77,2019-02-11 13:56:12.185,2,5,2
78,2019-02-08 21:41:57.036,5,2,1
79,2019-02-11 12:27:52.090,2,3,2
80,2019-02-12 15:11:24.605,1,5,4
81,2019-02-12 09:00:02.416,1,4,3
82,2019-02-09 20:07:10.818,4,1,4
83,2019-02-10 12:51:05.813,3,4,3
84,2019-02-09 09:01:55.078,4,3,5
85,2019-02-07 18:24:18.363,5,2,2
86,2019-02-12 18:05:34.368,1,3,3
87,2019-02-12 13:03:55.753,1,2,3
88,2019-02-07 13:19:51.228,5,2,4
89,2019-02-07 11:00:15.050,5,4,4
90,2019-02-09 20:00:37.078,4,5,5
91,2019-02-08 20:17:40.197,5,2,3
92,2019-02-12 17:32:08.402,1,2,1
93,2019-02-10 13:39:27.211,3,3,5
94,2019-02-12 20:31:26.607,1,5,3
95,2019-02-11 17:15:04.997,2,2,3
96,2019-02-12 15:41:50.083,1,5,2
97,2019-02-10 14:19:25.829,3,4,5
98,2019-02-10 15:07:52.844,3,3,4
99,2019-02-11 10:00:55.218,2,4,4
100,2019-02-12 15:11:11.519,1,1,1
101,2019-02-12 16:09:24.284,1,3,3
102,2019-02-11 17:31:35.387,2,2,2
103,2019-02-11 13:28:39.940,2,1,1
104,2019-02-10 23:36:45.020,3,3,5
105,2019-02-10 21:22:28.143,3,4,2
106,2019-02-12 00:57:28.838,2,4,4
107,2019-02-07 21:55:20.291,5,1,1
108,2019-02-11 11:25:59.207,2,4,3
109,2019-02-09 10:35:01.329,4,2,3
110,2019-02-12 22:08:10.879,1,4,2
111,2019-02-08 23:17:49.253,5,5,4
112,2019-02-11 16:51:27.595,2,3,1
113,2019-02-08 16:34:47.144,5,4,4
114,2019-02-11 11:30:55.603,2,1,3
115,2019-02-12 00:34:58.050,2,4,4
116,2019-02-09 12:30:08.967,4,4,4
117,2019-02-03 16:56:39.428,5,3,3
118,2019-02-11 11:18:11.665,2,2,1
119,2019-02-08 20:56:05.254,5,4,2
120,2019-02-11 15:20:54.050,2,4,1
121,2019-02-08 14:53:56.954,5,4,3
122,2019-02-10 15:55:10.629,3,1,2
123,2019-02-09 12:33:19.392,4,1,1
124,2019-02-11 09:42:55.596,2,4,4
125,2019-02-05 12:46:41.048,5,3,4
126,2019-02-12 17:04:08.247,1,5,5
127,2019-02-10 12:51:31.842,3,1,1
128,2019-02-12 18:08:58.989,1,4,1
129,2019-02-12 21:01:12.899,1,3,1
130,2019-02-11 23:00:51.043,2,3,4
131,2019-02-12 10:52:21.406,1,2,3
132,2019-02-10 16:00:10.395,3,4,4
133,2019-02-09 15:45:13.203,4,4,5
134,2019-02-10 18:11:54.181,3,3,5
135,2019-02-12 18:24:40.644,1,3,5
136,2019-02-11 15:38:07.517,2,2,1
137,2019-02-09 12:52:52.083,4,4,5
138,2019-02-11 01:15:26.838,3,3,3
139,2019-02-11 08:56:32.970,2,1,2
140,2019-02-11 11:49:28.306,2,5,3
141,2019-02-11 19:43:20.262,2,3,2
142,2019-02-11 15:29:27.821,2,4,5
143,2019-02-11 23:35:48.342,2,1,2
144,2019-02-11 11:51:45.651,2,5,5
145,2019-02-09 10:35:17.671,4,3,3
146,2019-02-10 11:17:33.076,3,1,2
147,2019-02-09 17:05:48.539,4,4,5
148,2019-02-10 23:02:37.982,3,2,3
149,2019-02-11 21:36:00.865,2,4,5
150,2019-02-11 17:19:27.233,2,2,1
151,2019-02-12 12:23:44.979,1,3,2
152,2019-02-11 22:59:46.636,2,3,5
153,2019-02-10 22:03:01.720,3,4,2
154,2019-02-11 08:49:38.693,2,1,3
155,2019-02-12 00:36:17.864,2,4,5
156,2019-02-12 15:25:46.974,1,5,4
157,2019-02-12 13:14:07.832,1,4,1
158,2019-02-09 14:12:27.217,4,2,4
159,2019-02-12 13:08:34.631,1,1,2
160,2019-02-10 15:19:54.786,3,3,3
161,2019-02-11 14:16:27.788,2,3,1
162,2019-02-12 12:31:44.274,1,4,3
163,2019-02-12 15:15:45.011,1,4,2
164,2019-02-11 18:54:19.635,2,1,3
165,2019-02-08 18:02:28.623,5,1,2
166,2019-02-11 13:37:08.791,2,2,1
167,2019-02-05 16:27:39.186,5,1,1
168,2019-02-12 01:03:10.233,2,5,2
169,2019-02-12 13:04:25.910,1,5,3
170,2019-02-12 06:47:35.498,1,1,3
171,2019-02-09 18:00:56.298,4,3,5
172,2019-02-09 00:26:09.828,5,2,2
173,2019-02-12 19:32:55.440,1,3,2
174,2019-02-11 19:23:22.899,2,2,2
175,2019-02-10 14:11:24.145,3,1,1
176,2019-02-11 05:18:03.329,2,5,3
177,2019-02-11 01:25:43.238,3,3,1
178,2019-02-09 20:03:35.256,4,5,4
179,2019-02-09 19:14:21.781,4,2,3
180,2019-02-12 13:12:10.313,1,1,1
181,2019-02-11 12:14:26.035,2,5,5
182,2019-02-10 14:16:09.410,3,3,4
183,2019-02-11 12:34:39.784,2,3,2
184,2019-02-11 19:36:52.200,2,2,1
185,2019-02-10 14:14:46.395,3,3,3
186,2019-02-11 21:09:26.870,2,3,2
187,2019-02-08 07:00:05.293,5,1,4
188,2019-02-10 13:03:42.728,3,3,3
189,2019-02-12 17:21:07.127,1,4,1
190,2019-02-11 18:37:00.982,2,4,2
191,2019-02-11 18:35:01.232,2,1,2
192,2019-02-11 12:58:07.723,2,1,2
193,2019-02-10 15:22:43.705,3,1,1
194,2019-02-09 19:29:46.178,4,4,3
195,2019-02-09 12:09:25.050,4,1,1
196,2019-02-12 09:43:15.380,1,5,5
197,2019-02-12 09:21:51.826,1,3,5
198,2019-02-09 13:31:21.544,4,4,4
199,2019-02-10 12:26:20.147,3,1,2
200,2019-02-09 13:43:48.435,4,3,1
201,2019-02-12 16:24:34.932,1,4,4
202,2019-02-12 16:27:19.620,1,3,2
203,2019-02-10 01:22:17.351,4,1,2
204,2019-02-11 18:57:55.585,2,2,3
205,2019-02-11 06:58:39.042,2,4,3
206,2019-02-07 22:35:14.445,5,1,3
207,2019-02-11 14:40:50.750,2,1,4
208,2019-02-11 18:34:35.859,2,1,3
209,2019-02-10 03:12:50.622,4,4,3
210,2019-02-10 18:31:10.426,3,1,2
211,2019-02-12 13:03:09.575,1,1,3
212,2019-02-06 16:47:41.541,5,3,4
213,2019-02-12 00:19:28.635,2,5,1
214,2019-02-09 11:48:22.125,4,2,2
215,2019-02-12 01:07:16.124,2,3,4
216,2019-02-12 12:49:23.966,1,4,5
217,2019-02-10 10:49:42.450,3,3,1
218,2019-02-10 10:30:11.503,3,3,5
219,2019-02-08 10:54:58.309,5,5,4
220,2019-02-09 21:35:58.517,4,1,4
221,2019-02-10 10:50:22.831,3,4,3
222,2019-02-09 19:37:37.269,4,4,4
223,2019-02-05 15:12:19.382,5,2,5
224,2019-02-11 19:37:30.664,2,4,3
225,2019-02-10 10:24:27.207,3,5,3
226,2019-02-12 21:24:41.756,1,1,3
227,2019-02-10 15:18:45.856,3,1,4
228,2019-02-10 02:17:35.703,4,4,4
229,2019-02-11 00:45:09.956,3,3,2
230,2019-02-09 22:59:34.926,4,2,2
231,2019-02-10 10:22:58.137,3,2,5
232,2019-02-10 12:24:27.841,3,4,4
233,2019-02-12 19:37:19.387,1,1,4
234,2019-02-12 21:01:45.183,1,3,2
235,2019-02-10 23:25:54.319,3,3,2
236,2019-02-11 02:09:00.982,3,2,2
237,2019-02-10 16:26:37.542,3,3,1
238,2019-02-11 19:06:21.839,2,1,2
239,2019-02-08 22:34:45.920,5,1,4
240,2019-02-08 07:55:56.567,5,4,4
241,2019-02-11 18:17:17.758,2,5,2
242,2019-02-11 09:19:25.683,2,4,3
243,2019-02-10 15:15:41.017,3,1,1
244,2019-02-12 11:11:50.941,1,4,3
245,2019-02-11 19:55:21.891,2,1,4
246,2019-02-11 14:41:18.134,2,3,4
247,2019-02-11 23:54:22.736,2,3,4
248,2019-02-10 03:20:45.936,4,5,4
249,2019-02-07 13:01:06.507,5,4,5
250,2019-02-11 14:06:24.264,2,3,3
251,2019-02-10 11:37:34.361,3,3,4
252,2019-02-11 18:24:02.407,2,3,3
253,2019-02-11 13:22:35.205,2,3,1
254,2019-02-10 11:19:40.409,3,4,4
255,2019-02-12 16:43:25.921,1,4,5
256,2019-02-10 14:33:28.503,3,2,2
257,2019-02-12 21:00:05.156,1,2,1
258,2019-02-11 10:31:39.313,2,3,1
259,2019-02-12 11:05:54.131,1,3,4
260,2019-02-09 22:22:46.670,4,4,3
261,2019-02-10 11:37:00.348,3,1,4
262,2019-02-11 08:58:16.097,2,4,5
263,2019-02-11 20:53:09.874,2,1,3
264,2019-02-12 00:26:02.666,2,1,4
265,2019-02-07 13:29:53.059,5,1,2
266,2019-02-08 02:39:46.421,5,1,4
267,2019-02-09 23:44:07.806,4,1,4
268,2019-02-12 21:41:38.035,1,4,3
269,2019-02-10 02:29:22.586,4,4,2
270,2019-02-12 18:32:24.831,1,4,1
271,2019-02-11 16:21:24.368,2,1,4
272,2019-02-10 14:48:23.270,3,5,4
273,2019-02-12 21:04:04.467,1,3,4
274,2019-02-10 10:58:55.229,3,4,3
275,2019-02-12 21:03:51.401,1,4,2
276,2019-02-10 12:15:10.737,3,1,2
277,2019-02-12 02:25:15.770,2,3,5
278,2019-02-09 13:08:26.870,4,3,5
279,2019-02-10 23:51:20.852,3,2,1
280,2019-02-12 16:27:25.287,1,4,3
281,2019-02-11 04:38:24.082,2,3,4
282,2019-02-09 15:44:55.404,4,2,5
283,2019-02-11 19:33:51.311,2,5,2
284,2019-02-11 23:24:51.064,2,3,3
285,2019-02-10 14:40:17.354,3,3,3
286,2019-02-12 17:58:02.558,1,2,4
287,2019-02-10 14:10:05.117,3,1,5
288,2019-02-08 11:22:47.743,5,4,5
289,2019-02-09 18:21:58.927,4,4,2
290,2019-02-11 22:26:54.162,2,1,3
291,2019-02-10 19:41:51.688,3,1,2
292,2019-02-11 23:05:26.488,2,3,3
293,2019-02-07 04:53:10.810,5,4,2
294,2019-02-11 12:39:50.255,2,3,3
295,2019-02-09 10:04:06.138,4,3,3
296,2019-02-12 18:34:35.061,1,1,3
297,2019-02-09 20:01:30.401,4,4,4
298,2019-02-09 10:57:52.147,4,4,5
299,2019-02-09 22:08:12.697,4,2,3
300,2019-02-10 15:40:03.058,3,2,3
301,2019-02-10 15:49:42.978,3,5,4
302,2019-02-12 10:28:34.476,1,3,1
303,2019-02-09 21:37:40.119,4,5,3
304,2019-02-12 11:29:59.099,1,5,2
305,2019-02-10 18:13:56.610,3,2,1
306,2019-02-10 20:04:17.931,3,3,2
307,2019-02-08 18:33:04.878,5,5,4
308,2019-02-11 17:35:17.685,2,2,4
309,2019-02-12 08:00:35.839,1,1,3
310,2019-02-10 15:33:50.895,3,1,2
311,2019-02-11 00:00:29.172,3,5,5
312,2019-02-11 21:15:02.198,2,2,2
313,2019-02-11 23:11:58.121,2,5,5
314,2019-02-11 16:31:04.645,2,3,1
315,2019-02-06 15:58:30.480,5,5,5
316,2019-02-08 20:13:41.877,5,1,3
317,2019-02-09 17:24:47.886,4,1,1
318,2019-02-10 01:16:19.423,4,4,4
319,2019-02-12 13:12:55.744,1,3,5
320,2019-02-09 01:03:45.751,5,5,4
321,2019-02-08 15:01:08.044,5,3,4
322,2019-02-10 22:42:11.101,3,3,2
323,2019-02-10 16:23:14.533,3,1,3
324,2019-02-09 12:33:21.570,4,3,4
325,2019-02-10 01:48:57.547,4,5,3
326,2019-02-09 23:36:01.873,4,3,5
327,2019-02-12 18:45:59.899,1,1,4
328,2019-02-12 19:06:18.054,1,1,1
329,2019-02-10 12:22:04.678,3,3,2
330,2019-02-10 13:20:04.082,3,4,4
331,2019-02-12 17:36:59.067,1,5,3
332,2019-02-08 21:00:33.755,5,1,3
333,2019-02-06 13:41:43.167,5,1,1
334,2019-02-10 15:19:31.811,3,3,2
335,2019-02-12 15:48:44.992,1,4,3
336,2019-02-10 19:32:11.493,3,5,3
337,2019-02-06 00:37:51.191,5,1,1
338,2019-02-12 22:07:06.435,1,3,3
339,2019-02-12 11:05:50.289,1,4,3
340,2019-02-08 00:50:07.638,5,2,3
341,2019-02-11 14:46:46.644,2,1,1
342,2019-02-12 19:33:23.909,1,3,1
343,2019-01-30 16:13:11.559,5,4,2
344,2019-02-12 16:02:59.223,1,3,3
345,2019-02-09 14:17:35.244,4,3,4
346,2019-02-11 20:49:59.532,2,5,5
347,2019-02-02 10:00:37.575,5,3,3
348,2019-02-10 14:58:25.888,3,2,3
349,2019-02-10 13:16:02.440,3,4,1
350,2019-02-12 13:18:47.153,1,4,3
351,2019-02-12 19:13:07.220,1,5,5
352,2019-02-10 18:25:43.506,3,3,5
353,2019-02-12 15:27:46.366,1,5,3
354,2019-02-12 15:44:59.222,1,4,1
355,2019-02-10 21:35:34.571,3,1,3
356,2019-02-09 18:55:29.113,4,4,4
357,2019-02-12 12:02:20.970,1,5,5
358,2019-02-11 10:04:26.277,2,3,1
359,2019-02-12 21:29:16.372,1,3,2
360,2019-02-11 12:54:29.046,2,1,4
361,2019-02-11 22:18:26.714,2,3,1
362,2019-02-09 22:05:11.835,4,5,1
363,2019-02-06 18:30:37.124,5,3,3
364,2019-02-11 21:06:52.800,2,3,2
365,2019-02-08 15:29:25.467,5,1,1
366,2019-02-09 23:20:45.525,4,3,5
367,2019-02-09 16:32:40.091,4,4,5
368,2019-02-09 15:06:52.813,4,3,2
369,2019-02-09 13:06:24.981,4,1,2
370,2019-02-12 13:33:48.487,1,2,3
371,2019-02-10 00:57:24.979,4,4,3
372,2019-02-12 14:08:50.708,1,5,4
373,2019-02-09 17:39:36.951,4,1,1
374,2019-02-10 22:04:20.516,3,4,4
375,2019-02-10 12:24:43.742,3,2,3
376,2019-02-10 13:20:40.427,3,2,4
377,2019-02-12 13:07:18.212,1,2,2
378,2019-02-12 03:20:49.607,2,2,5
379,2019-02-07 23:52:18.001,5,1,1
380,2019-02-10 11:26:47.380,3,5,4
381,2019-02-05 08:16:21.318,5,5,5
382,2019-02-11 19:20:13.750,2,4,5
383,2019-02-10 23:20:13.704,3,2,2
384,2019-02-11 23:03:24.948,2,1,4
385,2019-02-12 22:08:18.205,1,5,2
386,2019-02-09 20:07:32.066,4,1,1
387,2019-02-10 00:25:36.591,4,3,3
388,2019-02-11 09:52:21.184,2,3,2
389,2019-02-12 20:54:37.769,1,2,4
390,2019-02-11 10:36:50.632,2,3,4
391,2019-02-10 14:48:03.466,3,3,3
392,2019-02-11 09:11:05.266,2,1,1
393,2019-02-09 20:09:30.377,4,1,1
394,2019-02-11 15:45:20.446,2,2,2
395,2019-02-10 15:57:51.767,3,4,3
396,2019-02-11 12:52:38.503,2,1,3
397,2019-02-07 16:17:00.029,5,4,2
398,2019-02-10 23:37:05.096,3,1,1
399,2019-02-12 20:52:55.599,1,4,5
400,2019-02-10 17:47:51.859,3,3,2
401,2019-02-12 14:13:45.811,1,3,1
402,2019-02-10 13:22:18.222,3,5,4
403,2019-02-08 00:14:48.545,5,1,4
404,2019-02-12 20:13:15.041,1,2,3
405,2019-02-12 16:43:27.077,1,4,3
406,2019-02-10 14:47:17.133,3,4,1
407,2019-02-12 13:01:39.700,1,4,2
408,2019-02-11 06:58:29.217,2,3,3
409,2019-02-12 21:58:25.742,1,5,4
410,2019-02-04 12:07:55.728,5,3,5
411,2019-02-11 22:41:07.807,2,3,4
412,2019-02-12 15:47:24.958,1,4,5
413,2019-02-12 07:36:23.691,1,4,3
414,2019-02-10 15:51:26.246,3,3,3
415,2019-02-11 12:34:13.518,2,1,2
416,2019-02-09 08:54:24.354,4,1,1
417,2019-02-10 13:35:14.436,3,4,1
418,2019-02-11 13:26:04.411,2,5,5
419,2019-02-09 15:29:57.576,4,4,5
420,2019-02-11 15:12:29.852,2,1,1
421,2019-02-10 12:32:59.644,3,5,5
422,2019-02-09 23:57:12.674,4,4,5
423,2019-02-12 21:59:34.794,1,5,2
424,2019-02-12 18:36:28.207,1,1,3
425,2019-02-12 14:42:44.920,1,4,2
426,2019-02-12 22:09:29.054,1,4,4
427,2019-02-10 01:17:17.871,4,4,3
428,2019-02-10 17:03:13.194,3,1,2
429,2019-02-08 17:46:51.499,5,3,4
430,2019-02-12 11:57:27.030,1,1,3
431,2019-02-12 10:38:20.595,1,3,4
432,2019-02-11 18:36:06.263,2,2,2
433,2019-02-12 20:37:58.771,1,3,3
434,2019-02-09 14:16:14.189,4,5,5
435,2019-02-10 13:02:38.298,3,4,5
436,2019-02-07 22:07:06.878,5,1,4
437,2019-02-12 07:40:24.387,1,3,3
438,2019-02-09 10:43:10.769,4,1,1
439,2019-02-12 19:35:01.784,1,2,2
440,2019-02-12 19:46:19.377,1,3,5
441,2019-02-11 19:33:37.422,2,2,5
442,2019-02-07 22:48:09.232,5,1,1
443,2019-02-12 08:21:36.777,1,5,5
444,2019-02-10 12:34:14.807,3,4,5
445,2019-02-12 21:01:11.588,1,4,3
446,2019-02-10 13:06:24.932,3,3,2
447,2019-02-11 18:11:38.733,2,2,1
448,2019-02-12 16:48:50.636,1,5,3
449,2019-02-10 14:52:35.837,3,3,3
450,2019-02-11 20:06:37.213,2,3,3
451,2019-02-11 22:21:52.205,2,3,4
452,2019-02-12 15:11:10.264,1,5,3
453,2019-02-11 19:40:20.479,2,3,4
454,2019-02-05 22:23:30.647,5,1,2
455,2019-02-08 21:33:10.378,5,1,3
456,2019-02-11 15:38:44.996,2,1,4
457,2019-02-12 11:04:25.760,1,2,5
458,2019-02-10 11:55:50.390,3,4,4
459,2019-02-08 14:45:32.238,5,2,4
460,2019-02-10 15:57:28.512,3,4,3
461,2019-02-10 18:23:28.536,3,5,5
462,2019-02-08 15:33:21.652,5,1,3
463,2019-02-07 23:46:22.079,5,4,1
464,2019-02-11 13:08:16.638,2,1,2
465,2019-02-10 15:46:37.073,3,3,3
466,2019-02-12 21:10:13.642,1,5,5
467,2019-02-12 14:13:29.576,1,5,5
468,2019-02-11 10:47:02.496,2,4,1
469,2019-02-12 21:58:27.633,1,2,3
470,2019-02-12 21:27:14.899,1,1,2
471,2019-02-10 17:24:42.834,3,1,3
472,2019-02-09 13:40:26.320,4,4,4
473,2019-02-10 18:56:49.735,3,3,5
474,2019-02-05 23:30:13.893,5,5,4
475,2019-02-11 15:59:34.828,2,1,1
476,2019-02-11 10:10:31.303,2,3,4
477,2019-02-12 17:46:44.714,1,3,4
478,2019-02-10 01:49:42.267,4,4,2
479,2019-02-09 21:08:12.192,4,2,5
480,2019-02-09 19:32:39.550,4,1,4
481,2019-02-12 17:51:34.871,1,5,4
482,2019-02-10 17:58:13.069,3,3,1
483,2019-02-06 12:45:19.589,5,1,4
484,2019-02-09 02:29:21.809,5,2,4
485,2019-02-06 16:21:40.599,5,4,4
486,2019-02-08 16:07:18.584,5,3,2
487,2019-02-12 10:19:45.975,1,4,2
488,2019-02-09 14:46:54.622,4,2,3
489,2019-02-12 21:21:55.322,1,4,1
490,2019-02-12 21:12:30.661,1,2,5
491,2019-02-10 17:38:58.250,3,2,1
492,2019-02-10 23:29:36.234,3,3,5
493,2019-02-11 11:43:29.044,2,1,3
494,2019-02-11 18:22:16.780,2,5,4
495,2019-02-12 12:37:21.015,1,4,2
496,2019-02-12 17:40:32.690,1,3,4
497,2019-02-12 13:51:41.587,1,3,1
498,2019-02-12 13:28:05.137,1,4,2
499,2019-02-09 14:00:00.653,4,1,4
500,2019-02-03 20:18:48.429,5,1,3
501,2019-02-07 16:55:20.904,5,3,3
502,2019-02-10 13:05:06.487,3,5,1
503,2019-02-07 22:48:32.505,5,1,1
504,2019-02-11 22:56:12.366,2,1,1
505,2019-02-07 22:01:34.196,5,1,2
506,2019-02-10 20:01:27.947,3,1,2
507,2019-02-09 22:34:51.050,4,3,1
508,2019-02-10 12:27:31.551,3,1,2
509,2019-02-12 10:38:37.956,1,5,4
510,2019-02-11 13:14:10.541,2,1,2
511,2019-02-09 00:53:40.990,5,5,1
512,2019-02-10 12:26:31.571,3,1,4
513,2019-02-12 02:24:52.720,2,1,2
514,2019-02-11 17:32:11.294,2,1,3
515,2019-02-10 00:37:32.015,4,5,2
516,2019-02-10 11:20:47.410,3,2,3
517,2019-02-10 12:06:44.186,3,4,2
518,2019-02-11 20:48:36.692,2,4,3
519,2019-02-11 19:54:57.999,2,2,2
520,2019-02-11 10:39:56.037,2,4,4
521,2019-02-10 10:51:47.960,3,3,3
522,2019-02-07 20:11:57.832,5,3,3
523,2019-02-11 20:48:39.317,2,2,1
524,2019-02-10 14:16:12.556,3,1,3
525,2019-02-10 11:38:33.449,3,2,4
526,2019-02-09 23:51:54.858,4,3,3
527,2019-02-04 14:49:54.684,5,4,3
528,2019-02-09 00:06:47.922,5,5,2
529,2019-02-11 15:08:51.329,2,4,1
530,2019-02-11 17:57:55.627,2,3,1
531,2019-02-08 21:31:55.214,5,2,2
532,2019-02-10 18:54:52.304,3,5,4
533,2019-02-12 21:01:58.411,1,1,1
534,2019-02-12 08:26:37.787,1,5,4
535,2019-02-10 15:36:09.741,3,3,2
536,2019-02-12 15:27:41.642,1,4,1
537,2019-02-12 13:37:59.998,1,4,3
538,2019-02-11 13:14:30.108,2,5,5
539,2019-02-12 20:35:18.026,1,2,1
540,2019-02-10 04:52:25.919,3,5,5
541,2019-02-11 14:43:04.843,2,3,2
542,2019-02-11 22:41:54.720,2,2,3
543,2019-02-11 21:53:20.100,2,1,1
544,2019-02-10 13:45:00.471,3,5,5
545,2019-02-12 10:43:32.284,1,2,1
546,2019-02-12 21:30:56.630,1,4,5
547,2019-02-08 00:50:00.447,5,2,1
548,2019-02-10 14:31:06.003,3,4,1
549,2019-02-10 10:31:06.010,3,3,1
550,2019-02-09 17:38:20.677,4,1,3
551,2019-02-10 12:29:58.090,3,5,3
552,2019-02-12 07:06:20.428,1,2,2
553,2019-02-10 11:45:37.905,3,3,3
554,2019-02-10 13:37:33.083,3,3,3
555,2019-02-09 14:50:40.950,4,1,3
556,2019-02-10 15:20:09.018,3,3,3
557,2019-02-08 09:40:57.977,5,1,3
558,2019-02-12 15:03:27.689,1,4,1
559,2019-02-11 02:26:06.993,3,2,3
560,2019-02-08 20:11:36.355,5,1,1
561,2019-02-09 16:35:08.900,4,3,4
562,2019-02-11 07:19:47.686,2,3,3
563,2019-02-11 04:17:27.887,3,2,5
564,2019-02-10 08:07:00.918,3,5,3
565,2019-02-09 22:38:16.288,4,1,1
566,2019-02-11 11:29:44.685,2,4,1
567,2019-02-12 16:03:38.681,1,3,3
568,2019-02-11 12:22:00.648,2,3,4
569,2019-02-08 16:40:06.356,5,4,2
570,2019-02-09 19:17:26.938,4,3,5
571,2019-02-11 01:46:02.093,3,2,5
572,2019-02-10 10:18:12.690,3,1,3
573,2019-02-12 19:44:08.664,1,4,3
574,2019-02-12 11:34:37.493,1,3,4
575,2019-02-11 17:30:17.203,2,3,2
576,2019-02-12 12:28:53.299,1,3,2
577,2019-02-12 00:47:15.363,2,4,5
578,2019-02-10 09:16:14.222,3,2,3
579,2019-02-11 11:53:44.285,2,5,4
580,2019-02-12 19:45:10.776,1,3,4
581,2019-02-12 14:21:06.265,1,3,3
582,2019-02-09 22:32:22.784,4,1,2
583,2019-02-12 13:08:29.073,1,1,2
584,2019-02-12 17:56:25.338,1,1,1
585,2019-02-10 18:09:20.849,3,2,4
586,2019-02-09 16:14:51.754,4,4,4
587,2019-02-06 20:27:19.240,5,5,1
588,2019-02-12 20:23:37.479,1,5,5
589,2019-02-11 16:53:27.574,2,1,2
590,2019-02-10 17:54:11.535,3,4,1
591,2019-02-12 18:35:40.029,1,2,1
592,2019-02-09 20:59:23.040,4,3,3
593,2019-02-07 22:39:55.585,5,2,3
594,2019-02-12 18:47:18.504,1,4,5
595,2019-02-12 11:44:15.802,1,2,3
596,2019-02-09 21:05:23.038,4,5,2
597,2019-02-11 22:58:06.594,2,1,2
598,2019-02-11 09:17:28.043,2,3,5
599,2019-02-10 13:49:35.100,3,1,1
600,2019-02-11 11:40:31.654,2,4,4
601,2019-02-11 16:39:25.982,2,2,2
602,2019-02-11 11:07:49.548,2,3,4
603,2019-02-11 16:11:33.328,2,1,1
604,2019-02-08 21:48:07.657,5,3,2
605,2019-02-12 20:50:10.409,1,2,1
606,2019-02-12 20:05:46.892,1,1,2
